Game,Winner,Execution Time (s),Memory Usage (KB),Win Type
0,MiniMax,16.4393,19057.76,Horizontal
1,MiniMax,25.1066,19029.49,Horizontal
2,MiniMax,25.139,19032.17,Diagonal
3,MiniMax,18.0174,19026.28,Horizontal
4,MiniMax,28.8658,19034.74,Horizontal
5,MiniMax,26.6576,19031.36,Vertical
6,MiniMax,21.7995,19029.33,Horizontal
7,MiniMax,17.9408,19028.53,Horizontal
8,MiniMax,20.2339,19031.66,Horizontal
9,MiniMax,30.0066,19031.52,Vertical
10,MiniMax,18.3328,19028.58,Horizontal
11,MiniMax,16.078,19027.26,Horizontal
12,MiniMax,28.4867,19030.15,Diagonal
13,MiniMax,11.1866,19023.75,Horizontal
14,MiniMax,19.3226,19028.73,Horizontal
15,MiniMax,32.6001,19032.06,Diagonal
16,MiniMax,34.2328,19028.35,Horizontal
17,MiniMax,14.2131,19029.74,Horizontal
18,MiniMax,24.7506,19025.46,Horizontal
19,MiniMax,16.6088,19027.34,Horizontal
20,MiniMax,22.3526,19026.27,Horizontal
21,MiniMax,19.8426,19022.66,Diagonal
22,MiniMax,17.0579,19020.65,Horizontal
23,MiniMax,29.3339,19023.96,Horizontal
24,MiniMax,18.3545,19022.54,Vertical
25,MiniMax,31.2319,19023.61,Horizontal
26,MiniMax,13.8493,19023.47,Horizontal
27,MiniMax,13.4101,19021.46,Horizontal
28,MiniMax,16.7381,19021.53,Horizontal
29,MiniMax,21.2685,19024.82,Horizontal
30,MiniMax,16.9266,19022.19,Horizontal
31,MiniMax,28.9221,19024.31,Horizontal
32,MiniMax,16.745,19021.47,Horizontal
33,MiniMax,19.0683,19022.39,Diagonal
34,MiniMax,23.5147,19022.52,Horizontal
35,MiniMax,13.1799,19022.33,Diagonal
36,MiniMax,15.8233,19020.76,Horizontal
37,MiniMax,15.2054,19020.66,Horizontal
38,MiniMax,15.4768,19022.35,Diagonal
39,MiniMax,20.7841,19022.56,Horizontal
40,MiniMax,20.335,19021.64,Horizontal
41,MiniMax,29.1949,19019.93,Horizontal
42,MiniMax,17.2529,19018.82,Horizontal
43,MiniMax,17.9629,19019.4,Horizontal
44,MiniMax,18.3524,19019.16,Horizontal
45,MiniMax,27.3147,19019.1,Horizontal
46,MiniMax,12.4399,19018.83,Horizontal
47,MiniMax,33.0277,19019.62,Horizontal
48,MiniMax,12.6408,19018.68,Horizontal
49,MiniMax,20.5748,19019.3,Horizontal
50,MiniMax,19.9681,19019.24,Horizontal
51,MiniMax,23.8786,19019.58,Horizontal
52,MiniMax,18.9983,19019.0,Horizontal
53,MiniMax,30.8245,19019.18,Horizontal
54,MiniMax,22.5503,19019.34,Horizontal
55,MiniMax,18.4158,19019.67,Horizontal
56,MiniMax,18.0123,19019.35,Horizontal
57,MiniMax,21.4937,19019.0,Horizontal
58,MiniMax,23.6531,19018.92,Horizontal
59,MiniMax,26.8365,19018.82,Horizontal
60,MiniMax,23.6821,19019.29,Horizontal
61,MiniMax,12.3675,19018.88,Horizontal
62,MiniMax,15.0193,19019.19,Horizontal
63,MiniMax,17.1545,19018.91,Horizontal
64,MiniMax,22.5592,19019.23,Vertical
65,MiniMax,23.748,19019.29,Diagonal
66,MiniMax,24.9448,19020.02,Horizontal
67,MiniMax,18.8449,19019.44,Vertical
68,MiniMax,23.5026,19019.48,Diagonal
69,MiniMax,26.7049,19019.4,Vertical
70,MiniMax,21.4491,19019.86,Diagonal
71,MiniMax,18.9376,19018.87,Horizontal
72,MiniMax,39.1065,19019.44,Horizontal
73,MiniMax,23.7908,19019.29,Horizontal
74,MiniMax,19.3163,19019.29,Horizontal
75,MiniMax,20.3576,19019.39,Horizontal
76,MiniMax,11.1497,19018.81,Horizontal
77,MiniMax,15.8419,19019.62,Horizontal
78,MiniMax,22.5838,19019.04,Horizontal
79,MiniMax,18.7668,19019.01,Horizontal
80,MiniMax,10.9818,19018.83,Horizontal
81,MiniMax,17.812,19018.93,Horizontal
82,MiniMax,19.4241,19019.39,Diagonal
83,MiniMax,17.0806,19019.16,Vertical
84,MiniMax,19.3128,19018.9,Diagonal
85,MiniMax,19.6412,19019.35,Horizontal
86,MiniMax,15.2772,19018.87,Horizontal
87,MiniMax,15.3449,19019.16,Diagonal
88,MiniMax,29.1481,19019.82,Horizontal
89,MiniMax,26.7177,19019.01,Horizontal
90,MiniMax,16.9761,19019.11,Horizontal
91,MiniMax,20.7739,19019.3,Horizontal
92,MiniMax,17.1369,19019.53,Horizontal
93,MiniMax,29.688,19019.16,Horizontal
94,MiniMax,16.928,19019.19,Horizontal
95,MiniMax,22.0543,19019.58,Diagonal
96,MiniMax,17.9447,19019.48,Horizontal
97,MiniMax,16.1966,19019.33,Horizontal
98,MiniMax,14.9943,19018.96,Diagonal
99,MiniMax,34.6434,19019.87,Horizontal
