Game,Winner,Execution Time (s),Memory Usage (KB),Win Type
0,Smart,0.0094,0.75,Vertical
1,Random,0.0075,0.75,Horizontal
2,Smart,0.0044,0.75,Vertical
3,Smart,0.0044,0.75,Vertical
4,Smart,0.0044,0.75,Vertical
5,Smart,0.0045,0.75,Vertical
6,Smart,0.0044,0.75,Vertical
7,Smart,0.0044,0.75,Vertical
8,Smart,0.0056,0.75,Vertical
9,Smart,0.0044,0.75,Vertical
10,Random,0.0126,0.75,Horizontal
11,Smart,0.0044,0.75,Vertical
12,Smart,0.0044,0.75,Vertical
13,Smart,0.0046,0.75,Vertical
14,Random,0.0103,0.75,Horizontal
15,Random,0.0089,0.75,Diagonal
16,Smart,0.0044,0.75,Vertical
17,Smart,0.0043,0.75,Vertical
18,Smart,0.0055,0.75,Vertical
19,Random,0.01,0.75,Vertical
20,Smart,0.0043,0.75,Vertical
21,Smart,0.0045,0.75,Vertical
22,Random,0.0038,0.75,Horizontal
23,Smart,0.0043,0.75,Vertical
24,Smart,0.0044,0.75,Vertical
25,Smart,0.0043,0.75,Vertical
26,Smart,0.0043,0.75,Vertical
27,Smart,0.0043,0.75,Vertical
28,Smart,0.0044,0.75,Vertical
29,Random,0.0062,0.75,Horizontal
30,Smart,0.0043,0.75,Vertical
31,Random,0.0062,0.75,Horizontal
32,Random,0.0074,0.75,Horizontal
33,Random,0.0106,0.75,Horizontal
34,Smart,0.0044,0.75,Vertical
35,Smart,0.0043,0.75,Vertical
36,Smart,0.0044,0.75,Vertical
37,Smart,0.005,0.75,Vertical
38,Smart,0.0043,0.75,Vertical
39,Smart,0.0094,0.75,Vertical
40,Smart,0.0044,0.75,Vertical
41,Smart,0.0045,0.75,Vertical
42,Smart,0.0044,0.75,Vertical
43,Smart,0.0043,0.75,Vertical
44,Smart,0.0044,0.75,Vertical
45,Smart,0.0046,0.75,Vertical
46,Random,0.0139,0.75,Vertical
47,Smart,0.0044,0.75,Vertical
48,Random,0.0075,0.75,Horizontal
49,Random,0.0089,0.75,Horizontal
50,Smart,0.0044,0.75,Vertical
51,Random,0.0066,0.75,Horizontal
52,Smart,0.0044,0.75,Vertical
53,Smart,0.0044,0.75,Vertical
54,Smart,0.011,0.75,Vertical
55,Smart,0.0045,0.75,Vertical
56,Smart,0.0044,0.75,Vertical
57,Random,0.009,0.75,Diagonal
58,Smart,0.0057,0.75,Vertical
59,Smart,0.0058,0.75,Vertical
60,Smart,0.0045,0.75,Vertical
61,Smart,0.0045,0.75,Vertical
62,Smart,0.0044,0.75,Vertical
63,Smart,0.0044,0.75,Vertical
64,Random,0.0153,0.75,Vertical
65,Smart,0.0095,0.75,Vertical
66,Smart,0.0044,0.75,Vertical
67,Smart,0.0044,0.75,Vertical
68,Smart,0.0044,0.75,Vertical
69,Smart,0.0044,0.75,Vertical
70,Smart,0.0044,0.75,Vertical
71,Smart,0.0107,0.75,Vertical
72,Random,0.0114,0.75,Horizontal
73,Smart,0.0045,0.75,Vertical
74,Smart,0.0044,0.75,Vertical
75,Smart,0.0107,0.75,Vertical
76,Smart,0.0044,0.75,Vertical
77,Smart,0.0044,0.75,Vertical
78,Smart,0.0044,0.75,Vertical
79,Smart,0.0094,0.75,Vertical
80,Smart,0.0044,0.75,Vertical
81,Smart,0.0046,0.75,Vertical
82,Random,0.0102,0.75,Vertical
83,Smart,0.0044,0.75,Vertical
84,Smart,0.0045,0.75,Vertical
85,Smart,0.0056,0.75,Vertical
86,Smart,0.0046,0.75,Vertical
87,Random,0.014,0.75,Vertical
88,Smart,0.0045,0.75,Vertical
89,Smart,0.0138,0.75,Vertical
90,Smart,0.0095,0.75,Vertical
91,Smart,0.0108,0.75,Vertical
92,Random,0.0051,0.75,Horizontal
93,Smart,0.0045,0.75,Vertical
94,Smart,0.0056,0.75,Vertical
95,Smart,0.0044,0.75,Vertical
96,Random,0.0088,0.75,Horizontal
97,Smart,0.0107,0.75,Vertical
98,Smart,0.0057,0.75,Vertical
99,Smart,0.0044,0.75,Vertical
100,Random,0.0039,0.75,Horizontal
101,Smart,0.0045,0.75,Vertical
102,Random,0.0038,0.75,Horizontal
103,Random,0.0103,0.75,Vertical
104,Random,0.0113,0.75,Horizontal
105,Smart,0.0045,0.75,Vertical
106,Smart,0.0044,0.75,Vertical
107,Smart,0.0057,0.75,Vertical
108,Smart,0.0045,0.75,Vertical
109,Smart,0.0046,0.75,Vertical
110,Random,0.0153,0.75,Vertical
111,Smart,0.0055,0.75,Vertical
112,Smart,0.0056,0.75,Vertical
113,Smart,0.0044,0.75,Vertical
114,Smart,0.0043,0.75,Vertical
115,Smart,0.0093,0.75,Vertical
116,Random,0.0087,0.75,Horizontal
117,Smart,0.0044,0.75,Vertical
118,Smart,0.0106,0.75,Vertical
119,Random,0.0075,0.75,Horizontal
120,Smart,0.0043,0.75,Vertical
121,Smart,0.0044,0.75,Vertical
122,Smart,0.0043,0.75,Vertical
123,Smart,0.0093,0.75,Vertical
124,Random,0.0087,0.75,Horizontal
125,Smart,0.0056,0.75,Vertical
126,Random,0.005,0.75,Horizontal
127,Smart,0.0043,0.75,Vertical
128,Smart,0.0052,0.75,Vertical
129,Smart,0.0095,0.75,Vertical
130,Smart,0.018,0.75,Horizontal
131,Random,0.0063,0.75,Horizontal
132,Random,0.0064,0.75,Horizontal
133,Smart,0.0056,0.75,Vertical
134,Random,0.0101,0.75,Horizontal
135,Smart,0.0044,0.75,Vertical
136,Random,0.0101,0.75,Vertical
137,Smart,0.0044,0.75,Vertical
138,Smart,0.0044,0.75,Vertical
139,Smart,0.0043,0.75,Vertical
140,Random,0.0039,0.75,Horizontal
141,Random,0.0102,0.75,Vertical
142,Random,0.0088,0.75,Horizontal
143,Smart,0.0056,0.75,Vertical
144,Random,0.005,0.75,Horizontal
145,Smart,0.0095,0.75,Vertical
146,Smart,0.0044,0.75,Vertical
147,Smart,0.0044,0.75,Vertical
148,Smart,0.0044,0.75,Vertical
149,Smart,0.0043,0.75,Vertical
150,Smart,0.0044,0.75,Vertical
151,Random,0.0139,0.75,Horizontal
152,Smart,0.0044,0.75,Vertical
153,Random,0.0166,0.75,Vertical
154,Smart,0.0056,0.75,Vertical
155,Random,0.0091,0.75,Horizontal
156,Smart,0.0044,0.75,Vertical
157,Random,0.0076,0.75,Horizontal
158,Random,0.0088,0.75,Horizontal
159,Smart,0.0043,0.75,Vertical
160,Random,0.0038,0.75,Horizontal
161,Random,0.005,0.75,Horizontal
162,Random,0.0063,0.75,Horizontal
163,Smart,0.0056,0.75,Vertical
164,Random,0.0051,0.75,Horizontal
165,Smart,0.0044,0.75,Vertical
166,Smart,0.0044,0.75,Vertical
167,Smart,0.0106,0.75,Vertical
168,Smart,0.0044,0.75,Vertical
169,Smart,0.0047,0.75,Vertical
170,Smart,0.0044,0.75,Vertical
171,Smart,0.0044,0.75,Vertical
172,Smart,0.0045,0.75,Vertical
173,Smart,0.0148,0.75,Diagonal
174,Smart,0.0044,0.75,Vertical
175,Smart,0.0056,0.75,Vertical
176,Smart,0.0044,0.75,Vertical
177,Smart,0.0056,0.75,Vertical
178,Random,0.0114,0.75,Vertical
