Game,Winner,Execution Time (s),Memory Usage (KB),Win Type
0,MiniMax,14.3595,1.77,Horizontal
1,MiniMax,13.7506,1.61,Horizontal
2,MiniMax,10.3836,1.62,Horizontal
3,MiniMax,11.5723,1.56,Horizontal
4,MiniMax,9.9162,1.56,Horizontal
5,MiniMax,19.4674,1.5,Vertical
6,MiniMax,17.8036,1.59,Vertical
7,MiniMax,14.9939,1.48,Horizontal
8,MiniMax,15.8084,1.51,Horizontal
9,MiniMax,10.3081,1.56,Horizontal
10,MiniMax,12.2455,1.48,Horizontal
11,MiniMax,11.561,1.56,Horizontal
12,MiniMax,13.8418,1.48,Horizontal
13,MiniMax,11.5346,1.59,Horizontal
14,MiniMax,19.1428,1.5,Vertical
15,MiniMax,12.1528,1.48,Horizontal
16,MiniMax,9.6159,1.53,Diagonal
17,MiniMax,13.7722,1.51,Horizontal
18,MiniMax,13.7191,1.53,Diagonal
19,MiniMax,11.3279,1.56,Horizontal
20,MiniMax,10.3356,1.48,Horizontal
21,MiniMax,10.0692,1.56,Horizontal
22,MiniMax,10.5939,1.56,Horizontal
23,MiniMax,9.8158,1.47,Horizontal
24,MiniMax,16.7107,1.56,Vertical
25,MiniMax,11.3463,1.56,Horizontal
26,MiniMax,11.362,1.48,Horizontal
27,MiniMax,10.1823,1.53,Diagonal
28,MiniMax,15.1828,1.51,Horizontal
29,MiniMax,11.1923,1.59,Horizontal
30,MiniMax,11.1707,1.56,Horizontal
31,MiniMax,10.6843,1.48,Horizontal
32,MiniMax,10.126,1.48,Horizontal
33,MiniMax,10.5406,1.47,Horizontal
34,MiniMax,15.1757,1.51,Horizontal
35,MiniMax,13.1836,1.45,Horizontal
36,MiniMax,7.3321,1.41,Vertical
37,MiniMax,10.1745,1.56,Horizontal
38,MiniMax,14.7596,1.51,Horizontal
39,MiniMax,12.3762,1.48,Horizontal
40,MiniMax,19.6068,1.5,Diagonal
41,MiniMax,10.9643,1.47,Horizontal
42,MiniMax,9.9625,1.56,Horizontal
43,MiniMax,9.8865,1.56,Horizontal
44,MiniMax,18.826,1.5,Vertical
45,MiniMax,11.501,1.48,Horizontal
46,MiniMax,14.0452,1.53,Diagonal
47,MiniMax,11.4585,1.48,Horizontal
48,MiniMax,13.4729,1.48,Horizontal
49,MiniMax,11.4779,1.48,Horizontal
50,MiniMax,16.5397,1.56,Vertical
51,MiniMax,11.342,1.48,Horizontal
52,MiniMax,10.5241,1.56,Horizontal
53,MiniMax,10.1767,1.56,Horizontal
54,MiniMax,13.3622,1.51,Horizontal
55,MiniMax,11.1427,1.56,Horizontal
56,MiniMax,13.6674,1.51,Horizontal
57,MiniMax,22.257,1.5,Vertical
58,MiniMax,10.2004,1.56,Horizontal
59,MiniMax,11.2548,1.56,Horizontal
60,MiniMax,12.5525,1.56,Horizontal
61,MiniMax,9.944,1.56,Horizontal
62,MiniMax,10.7239,1.56,Horizontal
63,MiniMax,9.0404,1.47,Horizontal
64,MiniMax,13.3292,1.51,Horizontal
65,MiniMax,9.2192,1.47,Horizontal
66,MiniMax,10.8245,1.56,Horizontal
67,MiniMax,10.5852,1.48,Horizontal
68,MiniMax,9.6897,1.53,Diagonal
69,MiniMax,13.5881,1.56,Horizontal
70,MiniMax,13.7296,1.48,Horizontal
71,MiniMax,19.3262,1.5,Horizontal
72,MiniMax,11.2144,1.56,Horizontal
73,MiniMax,11.3236,1.48,Horizontal
74,MiniMax,14.9449,1.51,Horizontal
75,MiniMax,10.9253,1.56,Horizontal
76,MiniMax,9.1322,1.47,Horizontal
77,MiniMax,9.2304,1.48,Horizontal
78,MiniMax,13.6564,1.53,Diagonal
79,MiniMax,10.8936,1.56,Horizontal
80,MiniMax,11.2633,1.56,Horizontal
81,MiniMax,15.3034,1.51,Horizontal
82,MiniMax,10.6898,1.48,Horizontal
83,MiniMax,11.5306,1.48,Horizontal
84,MiniMax,10.0824,1.56,Horizontal
85,MiniMax,11.2129,1.56,Horizontal
86,MiniMax,14.2562,1.53,Vertical
87,MiniMax,11.4967,1.48,Horizontal
88,MiniMax,16.5297,1.48,Horizontal
89,MiniMax,12.6184,1.47,Horizontal
90,MiniMax,10.9388,1.56,Horizontal
91,MiniMax,16.253,1.47,Horizontal
92,MiniMax,10.3102,1.48,Horizontal
93,MiniMax,16.9165,1.45,Horizontal
94,MiniMax,12.7352,1.45,Horizontal
95,MiniMax,10.9373,1.56,Horizontal
96,MiniMax,11.4658,1.47,Horizontal
97,MiniMax,21.0301,1.59,Horizontal
98,MiniMax,9.1647,1.47,Horizontal
99,MiniMax,19.2852,1.47,Diagonal
